


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.1.6     Platform:  V1.0.4 (b3)     Uptime:    0.000 s
Compiled:   Mar 13 2019 08:03:52     Directory:  7842F-Competition-Code


"Target","RPM","Power","D"
"0.000000","-2.030626","25.200000","-0.365513"
"0.000000","-1.726032","24.400000","-0.310686"
"0.000000","-1.467128","23.600000","-0.264083"
"0.000000","-1.247058","22.800000","-0.224471"
"0.000000","-1.060000","22.000000","-0.190800"
"0.000000","-0.901000","21.200000","-0.162180"
"0.000000","-0.765850","20.400000","-0.137853"
"0.000000","-0.650972","19.600000","-0.117175"
"0.000000","-0.553326","18.800000","-0.099599"
"0.000000","-0.470327","18.000000","-0.084659"
"0.000000","-0.399778","17.200000","-0.071960"
"0.000000","-0.339812","16.400000","-0.061166"
"0.000000","-0.288840","15.600000","-0.051991"
"0.000000","-0.245514","14.800000","-0.044193"
"0.000000","-0.208687","14.000000","-0.037564"
"0.000000","-0.177384","13.200000","-0.031929"
"0.000000","-0.150776","12.400000","-0.027140"
"0.000000","-0.128160","11.600000","-0.023069"
"0.000000","-0.108936","10.800000","-0.019608"
"0.000000","-0.092595","10.000000","-0.016667"
"0.000000","-0.078706","9.200000","-0.014167"
"0.000000","-0.066900","8.400000","-0.012042"
"0.000000","-0.056865","7.600000","-0.010236"
"0.000000","-0.048335","6.800000","-0.008700"
"0.000000","-0.041085","6.000000","-0.007395"
"0.000000","-0.034922","5.200000","-0.006286"
"0.000000","-0.029684","4.400000","-0.005343"
"0.000000","-0.025231","3.600000","-0.004542"
"0.000000","-0.021447","2.800000","-0.003860"
"0.000000","-0.018230","2.000000","-0.003281"
"0.000000","-0.015495","1.200000","-0.002789"
"0.000000","-0.013171","0.400000","-0.002371"
"0.000000","-0.011195","0.000594","-0.002015"
"0.000000","-0.009516","0.000505","-0.001713"
"0.000000","-0.008089","0.000430","-0.001456"
"0.000000","-0.006875","0.000365","-0.001238"
"0.000000","-0.005844","0.000310","-0.001052"
"0.000000","-0.004967","0.000264","-0.000894"
"0.000000","-0.004222","0.000224","-0.000760"
"0.000000","-0.003589","0.000191","-0.000646"
"0.000000","-0.003051","0.000162","-0.000549"
"0.000000","-0.002593","0.000138","-0.000467"
"0.000000","-0.002204","0.000117","-0.000397"
"0.000000","-0.001873","0.000099","-0.000337"
"0.000000","-0.001592","0.000085","-0.000287"
"0.000000","-0.001354","0.000072","-0.000244"
"0.000000","-0.001151","0.000061","-0.000207"
"0.000000","-0.000978","0.000052","-0.000176"
"0.000000","-0.000831","0.000044","-0.000150"
"0.000000","-0.000707","0.000038","-0.000127"
"0.000000","-0.000601","0.000032","-0.000108"
"0.000000","-0.000510","0.000027","-0.000092"
"0.000000","-0.000434","0.000023","-0.000078"
"0.000000","-0.000369","0.000020","-0.000066"
"0.000000","-0.000314","0.000017","-0.000056"
"0.000000","-0.000266","0.000014","-0.000048"
"0.000000","-0.000227","0.000012","-0.000041"
"0.000000","-0.000193","0.000010","-0.000035"
"0.000000","-0.000164","0.000009","-0.000029"
"0.000000","-0.000139","0.000007","-0.000025"
"0.000000","-0.000118","0.000006","-0.000021"
"0.000000","-0.000101","0.000005","-0.000018"
"0.000000","-0.000085","0.000005","-0.000015"
"0.000000","-0.000073","0.000004","-0.000013"
"0.000000","-0.000062","0.000003","-0.000011"
"0.000000","-0.000052","0.000003","-0.000009"
"0.000000","-0.000045","0.000002","-0.000008"
"0.000000","-0.000038","0.000002","-0.000007"
"0.000000","-0.000032","0.000002","-0.000006"
"0.000000","-0.000027","0.000001","-0.000005"
"0.000000","-0.000023","0.000001","-0.000004"
"0.000000","-0.000020","0.000001","-0.000004"
"0.000000","-0.000017","0.000001","-0.000003"
"0.000000","-0.000014","0.000001","-0.000003"
"0.000000","-0.000012","0.000001","-0.000002"
"0.000000","-0.000010","0.000001","-0.000002"
"0.000000","-0.000009","0.000000","-0.000002"
"0.000000","-0.000007","0.000000","-0.000001"
"0.000000","-0.000006","0.000000","-0.000001"
"0.000000","-0.000005","0.000000","-0.000001"
"0.000000","-0.000005","0.000000","-0.000001"
"0.000000","-0.000004","0.000000","-0.000001"
"0.000000","-0.000003","0.000000","-0.000001"
"0.000000","-0.000003","0.000000","-0.000001"
"0.000000","-0.000002","0.000000","-0.000000"
"0.000000","-0.000002","0.000000","-0.000000"
"0.000000","-0.000002","0.000000","-0.000000"
"0.000000","-0.000001","0.000000","-0.000000"
"0.000000","-0.000001","0.000000","-0.000000"
"0.000000","-0.000001","0.000000","-0.000000"
"0.000000","-0.000001","0.000000","-0.000000"
"0.000000","-0.000001","0.000000","-0.000000"
"0.000000","-0.000001","0.000000","-0.000000"
"0.000000","-0.000001","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
