"Time","Target/4","Rpm/4","Accel(rpm/s)","Power","D"
"55496","0.000000","230.510667","0.000000","0.000000","1.196307"
"55506","0.000000","230.387192","312.500000","0.000000","1.055826"
"55516","0.000000","230.282238","312.500000","0.000000","0.928623"
"55526","0.000000","229.958652","-312.500000","0.000000","1.001767"
"55536","0.000000","229.683604","-312.500000","0.000000","1.021452"
"55546","0.000000","229.449814","0.000000","0.000000","1.004194"
"55556","0.000000","229.251092","0.000000","0.000000","0.962333"
"55566","0.000000","229.082178","0.000000","0.000000","0.904997"
"55576","0.000000","229.172976","312.500000","0.000000","0.651359"
"55586","0.000000","229.250155","312.500000","0.000000","0.459345"
"55596","0.000000","230.018882","937.500000","0.000000","-0.247506"
"55606","0.000000","230.672299","937.500000","0.000000","-0.720739"
"55616","0.000000","231.227704","0.000000","0.000000","-1.020915"
"55626","0.000000","231.699799","0.000000","0.000000","-1.194408"
"55636","0.000000","232.101079","0.000000","0.000000","-1.276550"
"55646","0.000000","232.442167","0.000000","0.000000","-1.294111"
"55656","0.000000","232.497717","-312.500000","0.000000","-1.079728"
"55666","0.000000","232.076184","-1250.000000","0.000000","-0.526557"
"55676","0.000000","231.717882","-1250.000000","0.000000","-0.134603"
"55686","0.000000","231.413325","0.000000","0.000000","0.135963"
"55696","0.000000","231.154451","0.000000","0.000000","0.315870"
"55706","0.000000","230.934408","0.000000","0.000000","0.428730"
"55716","0.000000","230.747372","0.000000","0.000000","0.492613"
"55726","0.000000","230.354016","-312.500000","0.000000","0.708775"
"55736","0.000000","229.550914","-1250.000000","0.000000","1.209502"
"55746","0.000000","228.868277","-1250.000000","0.000000","1.513711"
"55756","0.000000","228.288035","0.000000","0.000000","1.675162"
"55766","0.000000","227.794830","0.000000","0.000000","1.734694"
"55776","0.000000","227.844355","625.000000","0.000000","1.348135"
"55786","0.000000","227.886452","625.000000","0.000000","1.044830"
"55796","0.000000","228.156609","312.500000","0.000000","0.619739"
"55806","0.000000","228.386243","0.000000","0.000000","0.312084"
"55816","0.000000","228.581431","0.000000","0.000000","0.093516"
"55826","0.000000","228.747342","0.000000","0.000000","-0.057915"
"55836","0.000000","228.888365","0.000000","0.000000","-0.159151"
"55846","0.000000","228.773861","-312.500000","0.000000","-0.035717"
"55856","0.000000","228.676532","-312.500000","0.000000","0.049290"
"55866","0.000000","228.359427","-312.500000","0.000000","0.293116"
"55876","0.000000","228.089888","-312.500000","0.000000","0.450124"
