"Time","Target/4","Rpm/4","Accel(m/s)","Power","D"
"3446","75.000000","0.000000","0.000000","33.300000","0.000000"
"3456","75.000000","0.000000","0.000000","33.300000","0.000000"
"3466","75.000000","0.000000","0.000000","33.300000","0.000000"
"3476","75.000000","0.000000","0.000000","33.300000","0.000000"
"3486","75.000000","0.000000","0.000000","33.300000","0.000000"
"3496","75.000000","0.000000","0.000000","33.300000","0.000000"
"3506","75.000000","0.000000","0.000000","33.300000","0.000000"
"3516","75.000000","0.000000","0.000000","33.300000","0.000000"
"3526","75.000000","0.000000","0.000000","33.300000","0.000000"
"3536","75.000000","0.000000","0.000000","33.300000","0.000000"
"3546","75.000000","0.000000","0.000000","33.300000","0.000000"
"3556","75.000000","0.000000","0.000000","33.300000","0.000000"
"3566","75.000000","0.000000","0.000000","33.300000","0.000000"
"3576","75.000000","0.000000","0.000000","33.300000","0.000000"
"3586","75.000000","0.000000","0.000000","33.300000","0.000000"
"3596","75.000000","0.000000","0.000000","33.300000","0.000000"
"3606","75.000000","0.000000","0.000000","33.300000","0.000000"
"3616","75.000000","0.000000","0.000000","33.300000","0.000000"
"3626","75.000000","0.000000","0.000000","33.300000","0.000000"
"3636","75.000000","0.000000","0.000000","33.300000","0.000000"
"3646","75.000000","0.000000","0.000000","33.300000","0.000000"
"3656","75.000000","0.000000","0.000000","33.300000","0.000000"
"3666","75.000000","0.000000","0.000000","33.300000","0.000000"
"3676","75.000000","0.000000","0.000000","33.300000","0.000000"
"3686","75.000000","0.000000","0.000000","33.300000","0.000000"
"3696","75.000000","0.000000","0.000000","33.300000","0.000000"
"3706","75.000000","0.000000","0.000000","33.300000","0.000000"
"3716","75.000000","0.000000","0.000000","33.300000","0.000000"
"3726","150.000000","0.000000","0.000000","33.700000","150.000000"
"3736","150.000000","0.000000","0.000000","34.100000","75.000000"
"3746","150.000000","0.000000","0.000000","34.500000","37.500000"
"3756","150.000000","0.000000","0.000000","34.900000","18.750000"
"3766","150.000000","0.000000","0.000000","35.300000","9.375000"
"3776","150.000000","0.000000","0.000000","35.700000","4.687500"
"3786","150.000000","0.000000","0.000000","36.100000","2.343750"
"3796","150.000000","0.000000","0.000000","36.500000","1.171875"
"3806","150.000000","0.000000","0.000000","36.900000","0.585938"
"3816","150.000000","0.000000","0.000000","37.300000","0.292969"
"3826","150.000000","0.000000","0.000000","37.700000","0.146484"
"3836","150.000000","0.000000","0.000000","38.100000","0.073242"
"3846","150.000000","0.000000","0.000000","38.500000","0.036621"
"3856","150.000000","0.000000","0.000000","38.900000","0.018311"
"3866","150.000000","0.000000","0.000000","39.300000","0.009155"
"3876","150.000000","0.000000","0.000000","39.700000","0.004578"
"3886","150.000000","0.000000","0.000000","40.100000","0.002289"
"3896","150.000000","0.000000","0.000000","40.500000","0.001144"
"3906","150.000000","0.000000","0.000000","40.900000","0.000572"
"3916","150.000000","0.000000","0.000000","41.300000","0.000286"
"3926","150.000000","0.000000","0.000000","41.700000","0.000143"
"3936","150.000000","0.000000","0.000000","42.100000","0.000072"
"3946","150.000000","0.000000","0.000000","42.500000","0.000036"
"3956","150.000000","0.000000","0.000000","42.900000","0.000018"
"3966","150.000000","0.000000","0.000000","43.300000","0.000009"
"3976","150.000000","0.000000","0.000000","43.700000","0.000004"
"3986","150.000000","0.000000","0.000000","44.100000","0.000002"
"3996","150.000000","0.000000","0.000000","44.500000","0.000001"
"4006","150.000000","0.000000","0.000000","44.900000","0.000001"
"4016","150.000000","0.000000","0.000000","45.300000","0.000000"
"4026","150.000000","0.000000","0.000000","45.700000","0.000000"
"4036","150.000000","0.000000","0.000000","46.100000","0.000000"
"4046","150.000000","0.000000","0.000000","46.500000","0.000000"
"4056","150.000000","0.000000","0.000000","46.900000","0.000000"
"4066","150.000000","0.000000","0.000000","47.300000","0.000000"
"4076","150.000000","0.000000","0.000000","47.700000","0.000000"
"4086","150.000000","0.000000","0.000000","48.100000","0.000000"
"4096","150.000000","0.000000","0.000000","48.500000","0.000000"
"4106","150.000000","0.000000","0.000000","48.900000","0.000000"
"4116","150.000000","0.000000","0.000000","49.300000","0.000000"
"4126","150.000000","0.000000","0.000000","49.700000","0.000000"
"4136","150.000000","0.000000","0.000000","50.100000","0.000000"
